domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
ilprimatonazionale.it,hyperpartisan media,,,,
ilrestodelcarlino.it,tabloid newspaper,,,,
ilsecoloxix.it,quality newspaper/magazine,,,,
ilsole24ore.com,quality newspaper/magazine,,,,
iltempo.it,quality newspaper/magazine,,,,
infolibre.es,digital-born news outlet,,,,
informazione.it,hyperpartisan media,,,,
infranken.de,quality newspaper/magazine,quality newspapers/magazines,,,
insuedthueringen.de,quality newspaper/magazine,quality newspapers/magazines,,,
insuedthueringen.de,quality newspaper/magazine,quality newspapers/magazines,,,
internazionale.it,quality newspaper/magazine,,,,
journaldemontreal.com,tabloid newspaper,,,,
jungefreiheit.de,hyperpartisan media,hyperpartisan news,,,
kieler-nachrichten.de,quality newspaper/magazine,quality newspapers/magazines,,,
kn-online.de,quality newspaper/magazine,quality newspapers/magazines,,,
ksta.de,quality newspaper/magazine,quality newspapers/magazines,,,
la-croix.com,quality newspaper/magazine,,,,
lagacetadesalamanca.es,quality newspaper/magazine,,,,
lagazzettadelmezzogiorno.it,quality newspaper/magazine,,,,
lainformacion.com,digital-born news outlet,,,,
lamarea.com,quality newspaper/magazine,,,,
lanouvellerepublique.fr,quality newspaper/magazine,,,,
lanuevacronica.com,quality newspaper/magazine,,,,
laopinioncoruna.es,quality newspaper/magazine,,,,
laopiniondemalaga.es,quality newspaper/magazine,,,,
laopiniondemurcia.es,quality newspaper/magazine,,,,
laopiniondezamora.es,quality newspaper/magazine,,,,
lapresse.ca,quality newspaper/magazine,,leftcenter,,
lapresse.it,digital-born news outlet,,,,
laprovence.com,quality newspaper/magazine,,,,
laprovincia.es,quality newspaper/magazine,,,,
larazon.es,quality newspaper/magazine,,,,
larioja.com,quality newspaper/magazine,,,,
lasexta.com,commercial broadcaster,,,,
lasprovincias.es,quality newspaper/magazine,,,,
lastampa.it,quality newspaper/magazine,,,,
latribunadeespana.com,hyperpartisan media,,,,
latribune.fr,quality newspaper/magazine,,,,
lavanguardia.com,quality newspaper/magazine,,,,
laverdad.es,quality newspaper/magazine,,,,
lavoixdunord.fr,quality newspaper/magazine,,,,
lavozdegalicia.es,quality newspaper/magazine,,,,
lavozdelsur.es,digital-born news outlet,,,,
lavozdigital.es,quality newspaper/magazine,,,,
ledauphine.com,quality newspaper/magazine,,,,
lefigaro.fr,quality newspaper/magazine,,,,
leggioggi.it,digital-born news outlet,,,,
leggo.it,tabloid newspaper,,,,
lemonde.fr,quality newspaper/magazine,,,,
leparisien.fr,tabloid newspaper,,,,
lepoint.fr,quality newspaper/magazine,,,,
lepopulaire.fr,quality newspaper/magazine,,,,
lesechos.fr,quality newspaper/magazine,,,,
lettoquotidiano.it,digital-born news outlet,,,,
lexpress.fr,quality newspaper/magazine,,,,
liberation.fr,quality newspaper/magazine,,,,
liberoquotidiano.it,quality newspaper/magazine,,,,
libertaddigital.com,digital-born news outlet,,,,
linternaute.com,digital-born news outlet,,,,
linternaute.fr,digital-born news outlet,,,,
livesicilia.it,digital-born news outlet,,,,
lne.es,quality newspaper/magazine,,,,
lvz.de,quality newspaper/magazine,quality newspapers/magazines,,,
malagahoy.es,quality newspaper/magazine,,,,
manager-magazin.de,quality newspaper/magazine,quality newspapers/magazines,,,
marianne.net,quality newspaper/magazine,,,,
mdr.de,public broadcaster,public broadcaster,,,
mediapart.fr,digital-born news outlet,,,,
mediaset.it,commercial broadcaster,,,,
mediterraneodigital.com,hyperpartisan media,,,,
merkur.de,quality newspaper/magazine,quality newspapers/magazines,,,
milanotoday.it,quality newspaper/magazine,,,,
mopo.de,tabloid newspaper,tabloid newspaper ,,,
morgenpost.de,quality newspaper/magazine,quality newspapers/magazines,,,
morgenweb.de,quality newspaper/magazine,quality newspapers/magazines,,,
mz-web.de,quality newspaper/magazine,quality newspapers/magazines,,,
n-tv.de,commercial broadcaster,commercial broadcaster,,,
naciodigital.cat,digital-born news outlet,,,,
naiz.eus,quality newspaper/magazine,,,,
ndr.de,public broadcaster,public broadcaster,,,
news-net.fr,hyperpartisan media,,,,
news-und-nachrichten.de,digital-born news outlet,online only media ,,,
news.de,digital-born news outlet,online only media ,,,
news64.net,digital-born news outlet,online only media ,,,
newsmondo.it,digital-born news outlet,,,,
nordkurier.de,quality newspaper/magazine,quality newspapers/magazines,,,
notizie.it,digital-born news outlet,,,,
nouvelobs.com,quality newspaper/magazine,,,,
nw.de,quality newspaper/magazine,quality newspapers/magazines,,,
nzz.ch,quality newspaper/magazine,quality newspapers/magazines,,,
oggitreviso.it,quality newspaper/magazine,,,,
okdiario.com,hyperpartisan media,,,,
ondacero.es,commercial broadcaster,,,,
orf.at,public broadcaster,public broadcaster,,,
ostsee-zeitung.de,quality newspaper/magazine,quality newspapers/magazines,,,
ouest-france.fr,quality newspaper/magazine,,,,
panorama.it,quality newspaper/magazine,,,,
parismatch.com,tabloid newspaper,,,,
periodistadigital.com,hyperpartisan media,,,,
phoenix.de,public broadcaster,public broadcaster,,,
pi-news.net,hyperpartisan media,hyperpartisan news,,,
pnp.de,quality newspaper/magazine,quality newspapers/magazines,,,
politikstube.com,hyperpartisan media,hyperpartisan news,,,
presseportal.de,digital-born news outlet,online only media ,,,
prosieben.at,commercial broadcaster,commercial broadcaster,,,
prosieben.de,commercial broadcaster,commercial broadcaster,,,
publico.es,digital-born news outlet,,,,
que.es,tabloid newspaper,,,,
quifinanza.it,digital-born news outlet,,,,
quotidianodipuglia.it,quality newspaper/magazine,,,,
quotidianopiemontese.it,quality newspaper/magazine,,,,
rac1.cat,commercial broadcaster,,,,
racocatala.cat,digital-born news outlet,,,,
radioclassique.fr,commercial broadcaster,,,,
radioitalia.it,commercial broadcaster,,,,
rainews.it,public broadcaster,,,,
raiplay.it,public broadcaster,,,,
raiplayradio.it,public broadcaster,,,,
regio7.cat,quality newspaper/magazine,,,,
republica.com,digital-born news outlet,,,,
revolutionpermanente.fr,hyperpartisan media,,,,
rhein-zeitung.de,quality newspaper/magazine,quality newspapers/magazines,,,
riminitoday.it,quality newspaper/magazine,,,,
ripostelaique.com,hyperpartisan media,,,,
romatoday.it,quality newspaper/magazine,,,,
rosenheim24.de,digital-born news outlet,online only media ,,,
rp-online.de,quality newspaper/magazine,quality newspapers/magazines,,,
rtbf.be,public broadcaster,,,,
rtl.de,commercial broadcaster,commercial broadcaster,,,
rtl.fr,commercial broadcaster,,,,
rtl2.de,commercial broadcaster,commercial broadcaster,,,
saechsische.de,quality newspaper/magazine,quality newspapers/magazines,,,
sat1.de,commercial broadcaster,commercial broadcaster,,,
secoloditalia.it,hyperpartisan media,,,,
shz.de,quality newspaper/magazine,quality newspapers/magazines,,,
sky.it,commercial broadcaster,,,,
slate.fr,digital-born news outlet,,,,
sputniknews.com,hyperpartisan media,hyperpartisan news,fake-news,,bias
stern.de,quality newspaper/magazine,quality newspapers/magazines,,,
stimme.de,quality newspaper/magazine,quality newspapers/magazines,,,
strettoweb.com,digital-born news outlet,,,,
sudinfo.be,quality newspaper/magazine,,,,
sudouest.fr,quality newspaper/magazine,,,,
sueddeutsche.de,quality newspaper/magazine,quality newspapers/magazines,,,
swp.de,quality newspaper/magazine,quality newspapers/magazines,,,
swr.de,public broadcaster,public broadcaster,,,
swr3.de,public broadcaster,public broadcaster,,,
tag24.de,digital-born news outlet,online only media ,,,
tagesschau.de,public broadcaster,public broadcaster,,,
tagesspiegel.de,quality newspaper/magazine,quality newspapers/magazines,,,
taz.de,quality newspaper/magazine,quality newspapers/magazines,,,
telecinco.es,commercial broadcaster,,,,
tempi.it,digital-born news outlet,,,,
termometropolitico.it,digital-born news outlet,,,,
tf1.fr,commercial broadcaster,,,,
tgcom24.it,commercial broadcaster,,,,
torinotoday.it,quality newspaper/magazine,,,,
trevisotoday.it,quality newspaper/magazine,,,,
tv5monde.com,public broadcaster,,,,
tz.de,tabloid newspaper,tabloid newspaper ,,,
udinetoday.it,quality newspaper/magazine,,,,
valenciaplaza.com,digital-born news outlet,,,,
valeursactuelles.com,quality newspaper/magazine,,,,
vilaweb.cat,digital-born news outlet,,,,
volksstimme.de,quality newspaper/magazine,quality newspapers/magazines,,,
vox.de,commercial broadcaster,commercial broadcaster,,,
voxnews.info,hyperpartisan media,,,,
vozpopuli.com,digital-born news outlet,,,,
watergate.tv,hyperpartisan media,hyperpartisan news,,,
watson.de,digital-born news outlet,online only media ,,,
waz.de,quality newspaper/magazine,quality newspapers/magazines,,,
wdr.de,public broadcaster,public broadcaster,,,
wdr2.de,public broadcaster,public broadcaster,,,
welt.de,quality newspaper/magazine,quality newspapers/magazines,,,
wired.it,digital-born news outlet,,,,
wiwo.de,quality newspaper/magazine,quality newspapers/magazines,,,
zdf.de,public broadcaster,public broadcaster,center,,
zeit.de,quality newspaper/magazine,quality newspapers/magazines,leftcenter,,
quotidiano.net,quality newspaper/magazine,,,,
nextquotidiano.it,digital-born news outlet,,,,
blitzquotidiano.it,digital-born news outlet,,,,
quotidianodiragusa.it,digital-born news outlet,,,,
lanazione.it,tabloid newspaper,,,,
metro.it,tabloid newspaper,,,,
heute.de,public broadcaster,,,,
skytg24news.it,commercial broadcaster,,,,
kabeleins.de,commercial broadcaster,,,,
news-mondo.it,digital-born news outlet,,,,
primocanale.it,commercial broadcaster,,,,
komonews.com,commercial broadcaster,,,,
nbclosangeles.com,commercial broadcaster,,,,
nbcdfw.com,commercial broadcaster,,,,
estrepublicain.fr,quality newspaper/magazine,,,,
economist.com,quality newspaper/magazine,,center,,
republicain-lorrain.fr,quality newspaper/magazine,,,,
resistancerepublicaine.eu,hyperpartisan media,,,,
paris-normandie.fr,quality newspaper/magazine,,,,
epochtimes.fr,hyperpartisan media,,,,
epochtimes.de,hyperpartisan media,hyperpartisan news,,,
fivethirtyeight.com,digital-born news outlet,,leftcenter,,
ka-news.de,,quality newspapers/magazines,,,
huffingtonpost.de,,tabloid newspaper ,,,
krone.at,,tabloid newspaper ,,,
op-online.de,,quality newspapers/magazines,,,
dewezet.de,,quality newspapers/magazines,,,
hessenschau.de,,public broadcaster,,,
schwaebische.de,,quality newspapers/magazines,,,
campact.de,,hyperpartisan news,,,
stuttgarter-nachrichten.de,,quality newspapers/magazines,,,
radio-mk.de,,commercial broadcaster,,,
osthessen-news.de,,online only media ,,,
kreiszeitung.de,,online only media ,,,
tichyseinblick.de,,hyperpartisan news,,,
deutschlandradio.de,,public broadcaster,,,
maz-online.de,,quality newspapers/magazines,,,
wzonline.de,,quality newspapers/magazines,,,
wahlrecht.de,,political org/party/ngo,,,
noz.de,,quality newspapers/magazines,,,
main-echo.de,,quality newspapers/magazines,,,
suedkurier.de,,quality newspapers/magazines,,,
neues-deutschland.de,,quality newspapers/magazines,,,
achgut.com,,hyperpartisan news,,,
pz-news.de,,quality newspapers/magazines,,,
mittelbayerische.de,,quality newspapers/magazines,,,
giessener-allgemeine.de,,quality newspapers/magazines,,,
politikversagen.net,,hyperpartisan news,,,
wa.de,,quality newspapers/magazines,,,
