domain,pnas,populist,media_bias_fact_check,twitterfakenewslabel,opensource
redwhiteandright.com,,,fake-news,,
redstatewave.com,,,fake-news,,
reedcooper.net,,,fake-news,,
renewamerica.com,,,fake-news,,
resistancereport.com,,,fake-news,,political
returnofkings.com,,,fake-news,,hate
rightalerts.com,,,fake-news,,
rightjournalist.com,,,fake-news,,
rightwingnews.com,,,fake-news,orange,bias
rightsmarts.com,,,fake-news,,
southjerseymechanic.com,,,fake-news,,
rightwing.news,,,fake-news,,
rinf.com,,,fake-news,,political
rodong.rep.kp,,,fake-news,,
ruthinstitute.org,,,fake-news,,
smobserved.com,,,fake-news,,
sharednewsreport.com,,,fake-news,,
shariawatch.org.uk,,,fake-news,,
shtfplan.com,,,fake-news,,
sickchirpse.com,,,fake-news,,
smoloko.com,,,fake-news,,
southafricatoday.net,,,fake-news,,
speakgov.com,,,fake-news,,
speisa.com,,,fake-news,,
spinzon.com,,,fake-news,black,
squawker.org,,,fake-news,,
staresattheworld.com,,,fake-news,,
statefort.com,,,fake-news,,
stateofthenation2012.com,,,fake-news,red,
steadfastandloyal.com,,,fake-news,,
stonecoldtruth.com,,,fake-news,,
strategic-culture.org,,,fake-news,,
studionewsnetwork.com,,,fake-news,,
subjectpolitics.com,,,fake-news,,fake
summit.news,,,fake-news,,
sundayinquirer.com,,,fake-news,,
supremepatriot.com,,,fake-news,black,fake
surenews.com,,,fake-news,,
survivalblog.com,,,fake-news,,
svijmedia.com,,,fake-news,,
swampdrain.com,,,fake-news,,
syrianews.cc,,,fake-news,,
takimag.com,,,fake-news,,
tashnews.com,,,fake-news,,
tdnewswire.com,,,fake-news,black,
tdtalliance.com,,,fake-news,black,
teaparty.org,,,fake-news,,fake
teddystick.com,,,fake-news,black,
tmn.today,,,fake-news,orange,
africanexponent.com,,,fake-news,,
theamericanmirror.com,,,fake-news,,
angrypatriotmovement.com,,,fake-news,black,conspiracy
thebostontribune.com,,,fake-news,black,fake
buffalochronicle.com,,,fake-news,,
theconservativebrief.com,,,fake-news,,
thedailybell.com,,,fake-news,,
dcclothesline.com,,,fake-news,red,conspiracy
lastdeplorables.com,,,fake-news,black,fake
thedeplorablesociety.com,,,fake-news,,
theduran.com,,,fake-news,,unreliable
thefederalistpapers.org,,,fake-news,orange,bias
fairus.org,,,fake-news,,
thefreepatriot.org,,,fake-news,red,fake
freetelegraph.com,,,fake-news,,
thegoldwater.com,,,fake-news,,
thehornnews.com,,,fake-news,orange,
lastresistance.com,,,fake-news,,
thelibertyeagle.com,,,fake-news,,
themillenniumreport.com,,,fake-news,,
thenationalpatriot.com,,,fake-news,orange,
thenationalpulse.com,,,fake-news,,
newobserveronline.com,,,fake-news,,
thenewyorkevening.com,,,fake-news,black,fake
mynewsguru.com,,,fake-news,,
other98.com,,,fake-news,,clickbait
thepeoplestruth.com,,,fake-news,,
thepoliticaltribune.com,,,fake-news,black,
thepolitics.online,,,fake-news,,
thepostemail.com,,,fake-news,,
thepremiumnews.com,,,fake-news,black,
proudcons.com,,,fake-news,red,fake
theproudliberal.org,,,fake-news,,
theredelephants.com,,,fake-news,,
thereligionofpeace.com,,,fake-news,,
remnantnewspaper.com,,,fake-news,,
therightstuff.biz,,,fake-news,,hate
therightists.com,,,fake-news,black,satire
thescinewsreporter.com,,,fake-news,,
digifection.com,,,fake-news,,
thetrumpmedia.com,,,fake-news,black,fake
thetruthdivision.com,,,fake-news,,fake
unz.com,,,fake-news,,bias
theuspatriot.com,,,fake-news,,satire
usa-conservative.com,,,fake-news,black,
washingtonfeed.com,,,fake-news,black,
thewashingtonreporter.com,,,fake-news,,
thewashingtonsentinel.com,,,fake-news,,
thebreakingnews.today,,,fake-news,,
thinkamericana.com,,,fake-news,,
todaydispatch.com,,,fake-news,,
toprightnews.com,,,fake-news,orange,
toptopic.club,,,fake-news,,
tplnews.com,,,fake-news,,
triggerreset.net,,,fake-news,,
truthexam.com,,,fake-news,,
truebluescoop.com,,,fake-news,,
trueviralnews.com,,,fake-news,,
trump.news,,,fake-news,,
trumpservativenews.info,,,fake-news,,
truthandaction.org,,,fake-news,,bias
qpolitical.com,,,fake-news,orange,bias
truthinmedia.com,,,fake-news,,
truthmonitor.com,,,fake-news,,
truthrevolt.org,,,fake-news,,bias
truthuncensored.net,,,fake-news,red,
truthfeednews.com,,,fake-news,,
tpusa.com,,,fake-news,,
unclesamsmisguidedchildren.com,,,fake-news,,bias
undergroundjournalist.org,,,fake-news,,
understandingthethreat.com,,,fake-news,,
uniquewebmagazine.com,,,fake-news,,
universepolitics.com,,,fake-news,black,fake
ushealthyadvisor.com,,,fake-news,black,fake
uschronicle.com,,,fake-news,orange,bias
usherald.com,,,fake-news,black,bias
usinfonews.com,,,fake-news,black,fake
usjournalreview.com,,,fake-news,,
uslibertywire.club,,,fake-news,,
uslibertywire.com,,,fake-news,,
usnationalnews.org,,,fake-news,,
usaconservativereport.com,,,fake-news,,
usadailyreview.com,,,fake-news,,
usadailypost.us,,,fake-news,black,
usadosenews.com,,,fake-news,black,fake
usainfront.com,,,fake-news,,
usanews4u.us,,,fake-news,black,
usanewstoday.org,,,fake-news,,
politicsusanews.com,,,fake-news,black,fake
states-tv.com,,,fake-news,black,
usanewsflash.com,,,fake-news,black,fake
usapoliticsnow.com,,,fake-news,black,fake
usapubliclife.com,,,fake-news,,
usareally.com,,,fake-news,,
usasupreme.com,,,fake-news,red,fake
usa-television.com,,,fake-news,black,fake
usaviralnewstoday.com,,,fake-news,,
usaworldbox.com,,,fake-news,black,
usafirstinformation.com,,,fake-news,black,fake
usanetwork.info,,,fake-news,,
uspostman.com,,,fake-news,black,fake
usrightleft.com,,,fake-news,,
bloodandsoil.org,,,fake-news,,
radiovaticana.va,,,fake-news,,
vdare.com,,,fake-news,,bias
vidmax.com,,,fake-news,,
viralliberty.com,,,fake-news,red,fake
theviralpatriot.com,,,fake-news,,
voiceofeurope.com,,,fake-news,,
walkwithher.com,,,fake-news,,
wallbuilders.com,,,fake-news,,
thewashingtonpundit.com,,,fake-news,,
weconservative.com,,,fake-news,black,
webdaily.com,,,fake-news,,fake
westernsentinel.com,,,fake-news,red,
wikiislam.net,,,fake-news,,
winningdemocrats.com,,,fake-news,,bias
thepublicdiscourse.com,,,fake-news,,
wokesloth.com,,,fake-news,,
wnd.com,,,fake-news,red,bias
worldnewspolitics.com,,,fake-news,black,bias
24wpn.com,,,fake-news,black,fake
yesimright.com,,,fake-news,black,fake
zootfeed.com,,,fake-news,black,conspiracy
maga2020.us,,,fake-news,,
dailyinsidernews.com,,,fake-news,black,
polipace.com,,,fake-news,,
ghost.report,,,fake-news,,
nbc.com.co,,,fake-news,,
newsexaminer.net,,,fake-news,,
thelibertydaily.com,,,fake-news,,
16wmpo.com,,,satire,black,fake
abriluno.com,,,satire,,satire
adobochronicles.com,,,satire,black,satire
alternativelyfacts.com,,,satire,,
alternative-science.com,,,satire,,
americanlampoon.com,,,satire,,
amplifyingglass.com,,,satire,,clickbait
asamericanasapplepie.org,,,satire,black,
babylonbee.com,,,satire,satire,
bigamericannews.com,,,satire,,satire
bizstandardnews.com,,,satire,black,
bluenewsnetwork.com,,,satire,,
breakingburgh.com,,,satire,,
brokenworldnews.com,,,satire,,
bullshitnews.org,,,satire,,
burrardstreetjournal.com,,,satire,black,satire
callthecops.net,,,satire,,satire
cap-news.com,,,satire,,fake
celebtricity.com,,,satire,black,satire
christwire.org,,,satire,,satire
civictribune.com,,,satire,black,fake
clickhole.com,,,satire,,satire
confederacyofdrones.com,,,satire,,
creambmp.com,,,satire,,satire
dailycurrant.com,,,satire,black,satire
dailysquib.co.uk,,,satire,,satire
dailyworldupdate.us,,,satire,,
dailysnark.com,,,satire,,satire
derfmagazine.com,,,satire,,satire
duffelblog.com,,,satire,,
duhprogressive.com,,,satire,,satire
empirenews.net,,,satire,black,fake
empiresports.co,,,satire,black,satire
encyclopediadramatica.rs,,,satire,,
enduringvision.com,,,satire,,fake
eveningharold.com,,,satire,,
fedsalert.com,,,satire,black,fake
flake.news,,,satire,,
fmobserver.com,,,satire,,satire
frankmag.ca,,,satire,,
freewoodpost.com,,,satire,satire,satire
freedumjunkshun.com,,,satire,,
gawken.com,,,satire,,
gishgallop.com,,,satire,,
gomerblog.com,,,satire,,satire
harddawn.com,,,satire,,
headlinennews.com,,,satire,,
hillarybeattrump.org,,,satire,,
huzlers.com,,,satire,black,satire
imao.us,,,satire,,
chronicle.su,,,satire,,satire
ladiesofliberty.net,,,satire,,
larknews.com,,,satire,,
legorafi.fr,,,satire,,
liberalbias.com,,,satire,,satire
liberaldarkness.com,,,satire,,satire
mcsweeneys.net,,,satire,,
nationalreport.net,,,satire,black,satire
ncscooper.com,,,satire,black,satire
newromantimes.com,,,satire,,
newsbiscuit.com,,,satire,black,satire
newsmutiny.com,,,satire,,satire
newsthump.com,,,satire,,satire
politicops.com,,,satire,black,satire
notallowedto.com,,,satire,black,clickbait
nottnews.com,,,satire,,
now8news.com,,,satire,black,fake
npcdaily.com,,,satire,,
observeronline.news,,,satire,,
ourlandofthefree.com,,,satire,black,
politicer.com,,,satire,,
prettycoolsite.com,,,satire,,
private-eye.co.uk,,,satire,,
reaganwasright.com,,,satire,,
realnewsrightnow.com,,,satire,black,fake
reductress.com,,,satire,,satire
rilenews.com,,,satire,black,fake
rockcitytimes.com,,,satire,,satire
satiratribune.com,,,satire,black,satire
satirev.org,,,satire,,
schmedium.org,,,satire,,
scorchedearthnews.com,,,satire,,
shu.plus,,,satire,,
southendnewsnetwork.net,,,satire,,
stgeorgegazette.com,,,satire,black,
stubhillnews.com,,,satire,,
stuppid.com,,,satire,black,satire
sundaysportonline.co.uk,,,satire,,
sungress.com,,,satire,,
thatsprettygoodscience.com,,,satire,,
atlbanana.com,,,satire,,
awazetribune.com,,,satire,,satire
thebeaverton.com,,,satire,satire,satire
betootaadvocate.com,,,satire,,satire
chaser.com.au,,,satire,,satire
dailydiscord.com,,,satire,,satire
thedailymash.co.uk,,,satire,satire,satire
thedailymire.com,,,satire,,
dandygoat.com,,,satire,,satire
halfwaypost.com,,,satire,,
thehardtimes.net,,,satire,,satire
thelapine.ca,,,satire,,
thenewsnerd.com,,,satire,black,satire
theonion.com,,,satire,,satire
outabouter.com,,,satire,,
thepeoplescube.com,,,satire,,
politicalgarbagechute.com,,,satire,,
theracketreport.com,,,satire,black,fake
theredshtick.com,,,satire,,
thelastlineofdefense.org,,,satire,black,satire
thesciencepost.com,,,satire,,
theseattletribune.com,,,satire,black,satire
theshovel.com.au,,,satire,,satire
thespoof.com,,,satire,,satire
times.com.mx,,,satire,black,fake
undergroundnewsreport.com,,,satire,black,fake
theunrealtimes.com,,,satire,,satire
thereisnews.com,,,satire,,
tittletattle365.com,,,satire,,
truthbang.net,,,satire,,
truthbrary.org,,,satire,,
uspoln.com,,,satire,black,fake
viralcords.com,,,satire,black,
viraldevil.com,,,satire,black,
waterfordwhispersnews.com,,,satire,,satire
wokennews.com,,,satire,,
worldnewsdailyreport.com,,,satire,black,satire
witscience.org,,,satire,black,satire
cracked.com,,,satire,,
sportspickle.com,,,satire,,satire
the-daily-news.co.uk,,,satire,,
the-postillon.com,,,satire,black,
viralactions.com,,,satire,black,fake
20minutenews.com,,,,black,
24aktuelles.com,,,,black,
24online.news,,,,black,
24usainfo.com,,,,black,
abcnews.com.co,,,,black,fake
actualite.co,,,,black,
actualites.co,,,,black,
aldipest.com,,,,black,
alertchild.com,,,,black,
alynews.com,,,,black,
americafans.com,,,,black,
americanflare.com,,,,black,
americanpoliticnews.co,,,,black,fake
americanpresident.co,,,,black,fake
americanprides.com,,,,black,
americasnewest.com,,,,black,
amposts.com,,,,black,
anews24.org,,,,black,
anonjekloy.tk,,,,black,fake
areyouasleep.com,,,,black,
associatedmediacoverage.com,,,,black,satire
badcriminals.com,,,,black,
baldwinpost.com,,,,black,
baltimoregazette.com,,,,black,
battypost.com,,,,black,
belgique.actualites.co,,,,black,
bients.com,,,,black,clickbait
bignuggetnews.com,,,,black,bias
borderherald.com,,,,black,
bostonleader.com,,,,black,fake
butthatsnoneofmybusiness.com,,,,black,
buzzfeedusa.com,,,,black,fake
cartelpress.com,,,,black,
cartelreport.com,,,,black,
channel16news.com,,,,black,
channel17news.com,,,,black,
channel18news.com,,,,black,fake
channel22news.com,,,,black,
channel23news.com,,,,black,
channel28news.com,,,,black,
channel34news.com,,,,black,
channel45news.com,,,,black,
channel5000.com,,,,black,
choiceandtruth.com,,,,black,
chuckcallesto.blogspot.com,,,,black,
clancyreport.com,,,,black,
cnn.com.de,,,,black,
cnnews3.com,,,,black,fake
consciouslyenlightened.com,,,,black,
conservativeinfocorner.com,,,,black,
conservativeinsider.co,,,,black,
conservativestudio.com,,,,black,
cooltobeconservative.com,,,,black,
daily-sun.com,,,,black,
dailyfinesser.com,,,,black,
dailynews10.com,,,,black,fake
dailynews11.com,,,,black,
dailynews3.com,,,,black,
dailynews33.com,,,,black,
dailynews5.com,,,,black,fake
dailynewsposts.info,,,,black,fake
damnleaks.com,,,,black,fake
denverinquirer.com,,,,black,
departed.co,,,,black,fake
departedmedia.com,,,,black,fake
dineal.com,,,,black,junksci
diyhours.net,,,,black,
drugsofficial.com,,,,black,
en.mediamass.net,,,,black,
everydaybreakingnews.com,,,,black,
famousviralstories.com,,,,black,
fanzinger.com,,,,black,
flashinfo.org,,,,black,
focusnews.info,,,,black,
folksvideo.com,,,,black,
fox-news24.com,,,,black,
france.actualites.co,,,,black,
freddymag.com,,,,black,
freedomcrossroads.us,,,,black,
freshdailyreport.com,,,,black,fake
friendsofsyria.wordpress.com,,,,black,
givemeliberty01.com,,,,black,
globalassociatednews.com,,,,black,
guerilla.news,,,,black,
guerillanews.com,,,,black,
gummypost.com,,,,black,fake
halturnershow.com,,,,black,
headlinebrief.com,,,,black,
healthyworldhouse.com,,,,black,fake
heaviermetal.net,,,,black,
hotglobalnews.com,,,,black,
houstonchronicle-tv.com,,,,black,
interestingdailynews.com,,,,black,fake
intrendtoday.com,,,,black,fake
isthatlegit.com,,,,black,
jokerviral.com,,,,black,
kata33.com,,,,black,
klponews.com,,,,black,
km8news.com,,,,black,
kmt11.com,,,,black,
knp7.com,,,,black,
konkonsagh.biz,,,,black,fake
krbcnews.com,,,,black,fake
kspm33.com,,,,black,
kupr7.com,,,,black,
ky12news.com,,,,black,fake
ky6news.com,,,,black,
kypo6.com,,,,black,
landrypost.com,,,,black,
local31news.com,,,,black,fake
localnews33.com,,,,black,
lopezreport.com,,,,black,
mainerepublicemailalert.com,,,,black,
majorthoughts.com,,,,black,fake
maywoodpost.com,,,,black,
mbynews.com,,,,black,
mckenziepost.com,,,,black,
metropolitanworlds.com,,,,black,fake
mississippiherald.com,,,,black,
morningnewsusa.com,,,,black,unreliable
mrnewswatch.com,,,,black,
msfanpage.link,,,,black,
msnbc.website,,,,black,fake
nationalinsiderpolitics.com,,,,black,
nbc.com.co,,,,black,fake
nephef.com,,,,black,fake
news14kgpn.com,,,,black,
news14now.com,,,,black,
news4ktla.com,,,,black,fake
newsbreakingspipe.com,,,,black,
newsbuzzdaily.com,,,,black,
newsbysquad.com,,,,black,fake
newsdaily10.com,,,,black,
newsdaily12.com,,,,black,fake
newsdaily27.com,,,,black,
newsexaminer.net,,,,black,fake
newsfeedobserver.com,,,,black,
newshubs.info,,,,black,
newsjustforyou1.blogspot.com,,,,black,
newsleak.co,,,,black,fake
newslo.com,,,,black,fake
newsnow17.com,,,,black,
newswatch33.com,,,,black,fake
newzmagazine.com,,,,black,
noticias365.info,,,,black,
nymeta.co,,,,black,clickbait
onepoliticalplaza.com,,,,black,fake
oreillypost.com,,,,black,
paris.actualites.co,,,,black,
persecutes.com,,,,black,
politicot.com,,,,black,satire
powerdaily.us,,,,black,
pressunion.org,,,,black,
qualitysharing.com,,,,black,
rogue-nation3.com,,,,black,fake
rumorjournal.com,,,,black,fake
scrapetv.com,,,,black,
smhwtfnews.com,,,,black,
snoopack.com,,,,black,
socialeverythings.com,,,,black,fake
southernconservativeextra.com,,,,black,
statenation.co,,,,black,
straightstoned.com,,,,black,
success-street.com,,,,black,fake
telegraphsun.com,,,,black,
the-insider.co,,,,black,fake
theavocadonews.com,,,,black,
thebreakingnews.co,,,,black,
theexaminer.site,,,,black,
thefrt.com,,,,black,
themoralofthestory.us,,,,black,fake
thenationalsun.com,,,,black,
thenet24h.com,,,,black,fake
thenochill.com,,,,black,
thereporterz.com,,,,black,fake
theusaconservative.com,,,,black,
thevalleyreport.com,,,,black,satire
thewashingtonpress.com,,,,black,fake
tmzbreaking.com,,,,black,
tmzbusiness.com,,,,black,
tmzcomedy.com,,,,black,
tmzhiphop.com,,,,black,
tmzuncut.com,,,,black,
tmzurban.com,,,,black,
tmzworldnews.com,,,,black,fake
tmzworldstarnews.com,,,,black,
trueamericans.me,,,,black,fake
truetrumpers.com,,,,black,fake
truthkings.com,,,,black,bias
unitedmediapublishing.com,,,,black,fake
usa-radio.com,,,,black,fake
usadailyinfo.com,,,,black,fake
usadailytime.com,,,,black,fake
usanewshome.com,,,,black,
usanewstoday.com,,,,black,fake
usapolitics24hrs.com,,,,black,fake
usapoliticszone.com,,,,black,fake
usasnich.com,,,,black,fake
usatodaynews.me,,,,black,fake
usatodaypolitics.com,,,,black,
ushealthylife.com,,,,black,fake
viralcocaine.com,,,,black,
viralmugshot.com,,,,black,
viralpropaganda.com,,,,black,
viralspeech.com,,,,black,
viralstuppid.com,,,,black,
voxtribune.com,,,,black,fake
washingtonevening.com,,,,black,
washingtonpost.com.co,,,,black,fake
wazanews.tk,,,,black,
wcpm3.com,,,,black,
weekendherald.com,,,,black,
wetheproudpatriots.com,,,,black,
wftj8news.com,,,,black,
whatsupic.com,,,,black,
wleb21.com,,,,black,
wm21news.com,,,,black,
wmacnews.com,,,,black,
wmb36.com,,,,black,
world-politicus.com,,,,black,
worldinformation24.info,,,,black,
worldpoliticsnow.com,,,,black,fake
worldpoliticus.com,,,,black,
wrejnews.com,,,,black,
wrpt16.com,,,,black,
wtoe5news.com,,,,black,fake
xbn-news.com,,,,black,
lawofficer.com,,,,green,
montgomeryadvertiser.com,,,,green,
concealednation.org,,,,orange,
conservativetribune.com,,,,orange,bias
dailypost.ng,,,,orange,
dennismichaellynch.com,,,,orange,political
endoftheamericandream.com,,,,orange,conspiracy
impulsetoday.com,,,,orange,
iotwreport.com,,,,orange,
medicalkidnap.com,,,,orange,
onlysimchas.com,,,,orange,
americannews.com,,,,red,fake
americantoday.news ,,,,red,
channel-7-news.com,,,,red,fake
dailystormer.com,,,,red,hate
getoffthebs.com,,,,red,
gopthedailydose.com,,,,red,fake
myfreshnews.com,,,,red,fake
observatorial.com,,,,red,
religiousmind.com,,,,red,
shariaunveiled.wordpress.com,,,,red,
sourceplanet.net,,,,red,
superstation95.com,,,,red,
thelastamericanvagabond.com,,,,red,
thenewsclub.info,,,,red,
truthfeed.com,,,,red,hate
realtruenews.org,,,,satire,
addictinginfo.org,,,,yellow,clickbait
blakkpepper.com,,,,yellow,
cheezburger.com,,,,yellow,
christiannews.net,,,,yellow,
hinterlandgazette.com,,,,yellow,
hngn.com,,,,yellow,
lifesitenews.com,,,,yellow,clickbait
metalsucks.net,,,,yellow,
theintellectualist.co,,,,yellow,
365usanews.com,,,,,bias
4threvolutionarywar.wordpress.com,,,,,bias
aheadoftheherd.com,,,,,bias
ammoland.com,,,,,bias
antoniusaquinas.wp.com,,,,,bias
brotherjohnf.com,,,,,bias
conservativepapers.com,,,,,bias
conservativestate.com,,,,,bias
counterjihad.com,,,,,bias
dailypoliticsusa.com,,,,,bias
darkpolitricks.com,,,,,bias
deadlyclear.wordpress.com,,,,,bias
defenddemocracy.press,,,,,bias
dollarvigilante.com,,,,,bias
eaglerising.com,,,,,bias
elelephantintheroom.blogspot.com,,,,,bias
endtime.com,,,,,bias
extraclubmagazine.com,,,,,bias
firearmscoalition.org,,,,,bias
freebeacon.com,,,,,bias
freedomsphoenix.com,,,,,bias
freedomworldnews.com,,,,,bias
heresyblog.net,,,,,bias
horowitzfreedomcenter.org,,,,,bias
informetoday.com,,,,,bias
instaworldnews.com,,,,,bias
jamesrgrangerjr.com,,,,,bias
journal-neo.org,,,,,bias
katehon.com,,,,,bias
liveactionnews.org,,,,,bias
makeamericagreattoday.com,,,,,bias
newsninja2012.com,,,,,bias
occupyliberals.com,,,,,bias
oftwominds.com,,,,,bias
openmindmagazine.com,,,,,bias
orientalreview.org,,,,,bias
patdollar.com,,,,,bias
patriotchronicle.com,,,,,bias
patriotrising.com,,,,,bias
paulcraigroberts.org,,,,,bias
platosguns.com,,,,,bias
politicalcult.com,,,,,bias
pravda.ru,,,,,bias
presstv.ir,,,,,bias
reagancoalition.com,,,,,bias
rightalert.com,,,,,bias
sjlendman.blogspot.com,,,,,bias
thenewsdoctors.com,,,,,bias
thewatchtowers.com,,,,,bias
usawatchdog.com,,,,,bias
washingtonsblog.com,,,,,bias
youngcons.com,,,,,bias
amusmentic.com,,,,,clickbait
automotostar.com,,,,,clickbait
educateinspirechange.org/health,,,,,clickbait
elitereaders.com,,,,,clickbait
indiaarising.com,,,,,clickbait
liberalamerica.org,,,,,clickbait
livevote.com,,,,,clickbait
lovethispic.com,,,,,clickbait
remedydaily.com,,,,,clickbait
trueactivist.com,,,,,clickbait
uslifetoday.com,,,,,clickbait
viraltube.nl,,,,,clickbait
yournationnews.com,,,,,clickbait
82.221.129.208,,,,,conspiracy
abeldanger.net,,,,,conspiracy
alt-market.com,,,,,conspiracy
americanreviewer.com,,,,,conspiracy
bb4sp.com,,,,,conspiracy
bullionbullscanada.com,,,,,conspiracy
concisepolitics.com,,,,,conspiracy
conservativerefocus.com,,,,,conspiracy
conspiracywire.com,,,,,conspiracy
cryptogon.com,,,,,conspiracy
disclosuremedia.net,,,,,conspiracy
dont-tread-on.me,,,,,conspiracy
dutchsinse.com,,,,,conspiracy
ebolahoax.com,,,,,conspiracy
electionnightgatekeepers.com,,,,,conspiracy
expose1933.com,,,,,conspiracy
eyeopening.info,,,,,conspiracy
fourwinds10.net,,,,,conspiracy
fprnradio.com,,,,,conspiracy
freedomforceinternational.com,,,,,conspiracy
freedomoutpost.com,,,,,conspiracy
gaia.com,,,,,conspiracy
gangstergovernment.com,,,,,conspiracy
govtslaves.info,,,,,conspiracy
henrymakow.com,,,,,conspiracy
investmentresearchdynamics.com,,,,,conspiracy
itccs.org,,,,,conspiracy
jihadwatch.org,,,,,conspiracy
libertymovementradio.com,,,,,conspiracy
militianews.com,,,,,conspiracy
nasamoonhoax.com,,,,,conspiracy
nationalufocenter.com,,,,,conspiracy
nationindistress.weebly.com,,,,,conspiracy
nomorefakenews.com,,,,,conspiracy
offgridsurvival.com,,,,,conspiracy
oilgeopolitics.net,,,,,conspiracy
prepperwebsite.com,,,,,conspiracy
prisonplanet.tv,,,,,conspiracy
rumormillnews.com,,,,,conspiracy
sentinelblog.com,,,,,conspiracy
silver-coin-investor. com,,,,,conspiracy
silverbearcafe.com,,,,,conspiracy
silverdoctors.com,,,,,conspiracy
silverstealers.net,,,,,conspiracy
sonsoflibertyradio.com,,,,,conspiracy
theeconomiccollapseblog.com,,,,,conspiracy
theextinctionprotocol.com,,,,,conspiracy
themindunleashed.org,,,,,conspiracy
thephaser.com,,,,,conspiracy
truthfrequencyradio.com,,,,,conspiracy
ufoholic.com,,,,,conspiracy
wakeupthesheep.com,,,,,conspiracy
wakingupwisconsin.com,,,,,conspiracy
weshapelife.org,,,,,conspiracy
willyloman.wordpress.com,,,,,conspiracy
x22report.com,,,,,conspiracy
24newsflash.com,,,,,fake
70news.wordpress.com,,,,,fake
abcnewsgo.co,,,,,fake
americanoverlook.com,,,,,fake
amposts.com,,,,,fake
anews24.org/,,,,,fake
bighairynews.com,,,,,fake
blackinusrancenews.com,,,,,fake
cannasos.com,,,,,fake
coed.com,,,,,fake
conservativeinfidel.com,,,,,fake
dailyheadlines.com,,,,,fake
dcgazette.com,,,,,fake
ddemocraticunderground.com,,,,,fake
diyhours.net,,,,,fake
donaldtrumppotus45.com,,,,,fake
drudgereport.com.co,,,,,fake
empirehearland.com,,,,,fake
en-vovle.com,,,,,fake
enabon.com,,,,,fake
eutopia.buzz,,,,,fake
fakingnews.com,,,,,fake
givemeliberity01.com,,,,,fake
healthycareandbeauty.com,,,,,fake
immediatesafety.org,,,,,fake
infostormer.com,,,,,fake
itmakessenseblog.com,,,,,fake
iwanttoexplore.com,,,,,fake
kmt11.com,,,,,fake
ladylibertynews.com,,,,,fake
libertyblitzkrieg.com,,,,,fake
maganews.co,,,,,fake
mediamass.net,,,,,fake
megynkelly.us,,,,,fake
mentor2day.com,,,,,fake
mpidailymagazine.com,,,,,fake
mrconservative.com,,,,,fake
nationonenews.com,,,,,fake
newsbbc.net,,,,,fake
newsfrompolitics.com,,,,,fake
newsmagazine.com,,,,,fake
newswatch28.com,,,,,fake
politicalo.com,,,,,fake
politicalupdator.com,,,,,fake
politicono.com,,,,,fake
rhotv.com,,,,,fake
smag31.com,,,,,fake
tdtalliance.com,,,,,fake
thatviralfeed.net,,,,,fake
theamericanindependent.wordpress.com,,,,,fake
thebigriddle.com,,,,,fake
threepercenternation.com,,,,,fake
trumpvision365.com,,,,,fake
undergroundworldnews.com,,,,,fake
usa2016elections.com,,,,,fake
usadailypolitics.com,,,,,fake
usainfobox.com,,,,,fake
usamagazinestudio.com,,,,,fake
usanewsinsider.com,,,,,fake
usanewspolitics.com,,,,,fake
usaonlinepolitics.com,,,,,fake
usaphase.com,,,,,fake
usatoday.com.co,,,,,fake
usatwentyfour.com,,,,,fake
usconservativetoday.com,,,,,fake
usfanzone.com,,,,,fake
uspoliticslive.com,,,,,fake
washingtonfed.com,,,,,fake
weeklyworldnews.com,,,,,fake
worldpoliticsus.com,,,,,fake
worldrumor.com,,,,,fake
worldstoriestoday.com,,,,,fake
yourfunpage.com,,,,,fake
farmwars.info,,,,,fake
actforamerica.org/news,,,,,hate
adflegal.org/media,,,,,hate
americanborderpatrol.com,,,,,hate
aryannationswordwide1488.org,,,,,hate
barnesreview.org,,,,,hate
bigbluevision.com,,,,,hate
centerforsecuritypolicy.org/#articles,,,,,hate
christianfightback.com,,,,,hate
creativitymovement.net/category/news/,,,,,hate
dailyken.com,,,,,hate
darkmoon.me,,,,,hate
davidduke.com,,,,,hate
drrichswier.com,,,,,hate
eutimes.net,,,,,hate
gatesofvienna.net,,,,,hate
glaringhypocrisy.com,,,,,hate
libertyfederation.com,,,,,hate
themuslimissue.wordpress.com,,,,,hate
whitepower.com,,,,,hate
americankabuki.blogspot.com,,,,,junksci
checkoutthehealthyworld.com,,,,,junksci
experimentalvaccines.org,,,,,junksci
galacticconnection.com,,,,,junksci
greenmedinfo.com,,,,,junksci
in5d.com,,,,,junksci
lifeprevention.com,,,,,junksci
naturalblaze.com,,,,,junksci
naturalnewsblogs.com,,,,,junksci
rawforbeauty.com,,,,,junksci
realplanetnews.com,,,,,junksci
revolutions2040.com,,,,,junksci
thetruthwins.com,,,,,junksci
worldwidehealthy.com,,,,,junksci
dailyleak.org,,,,,satire
americannewsx.com,,,,,political
cato.org/blog,,,,,political
counterinformation.wordpress.com,,,,,political
counterpunch.com,,,,,political
davidstockmanscontracorner.com,,,,,political
deadlinelive.info,,,,,political
economicnoise.com,,,,,political
emptywheel.net,,,,,political
filmsforaction.org,,,,,political
geopolmonitor.com,,,,,political
jackpineradicals.com,,,,,political
newcoldwar.org,,,,,political
occupy.com,,,,,political
presidentialvoting2016.com,,,,,political
ruptly.tv,,,,,political
tomwoods.com,,,,,political
bigbluedimension.com,,,,,rumor
loanpride.com,,,,,rumor
magafeed.com,,,,,rumor
megafreshnews.com,,,,,rumor
newswire-24.com,,,,,rumor
